name;street;zip;city
4 Linden-Apotheke;Hachmeisterstr. 2;31139;Hildesheim
5K Universum Apotheke;Theodor-Stern-Kai 7;60596;Frankfurt am Main
5K-Apotheke im Lidl Niederrad;Goldsteinstr. 157;60528;Frankfurt am Main
7 Berge-Apotheke;Sedanstr. 18;31061;Alfeld (Leine)
Aartal-Apotheke;Friedhofstr. 4;35745;Herborn
Aatal-Apotheke;Mittelstr. 33;33181;Bad Wünnenberg
ABC-Apotheke;Marktstr. 50;46045;Oberhausen
Abens-Apotheke;Straubinger Str. 42;93326;Abensberg, Hallertau
Abens-Apotheke OHG;Straubinger Str. 42;93326;Abensberg
Abtei-Apotheke;Debonstr. 3d;63916;Amorbach
Abtei-Apotheke Liesborn;Königstr. 17;59329;Wadersloh
Achatius-Apotheke;Hauptstr. 19;97947;Grünsfeld
Achental-Apotheke;Pettendorfer Str. 1a;83250;Marquartstein
Achental-Marien-Apotheke;Bahnhofstr. 47;83224;Grassau
Achilles-Apotheke;Achillesstr. 69;13125;Berlin
Achtal Apotheke;Ravensburger Str. 6;88255;Baienfurt
Acnos Apotheke im Aquis Plaza OHG;Adalbertstr. 100;52062;Aachen
Acuna-Apotheke;Gartenstr. 81b;91154;Roth
Adam Kraft Apotheke;Wittelsbacherstr. 7;91126;Schwabach
Adam-Apotheke;Adamstr. 41;13595;Berlin
Adler & Barbara Apotheke;Germaniaplatz 8;45355;Essen
Adler-Apotheke;Hochstr. 58;47798;Krefeld
Adler-Apotheke;Frankfurter Str. 100;53773;Hennef (Sieg)
Adler-Apotheke;Reichshofstr. 49;51580;Reichshof
Adler-Apotheke;Markt 4;44137;Dortmund
Adler-Apotheke;Neustädter Str. 9;91462;Dachsbach
Adler-Apotheke;Rheingaustr. 56;65375;Oestrich-Winkel
Adler-Apotheke;Königstr. 38;32584;Löhne
Adler-Apotheke;Rottwerndorfer Str. 9;01796;Pirna
Adler-Apotheke;Koblenzer Str. 47;56759;Kaisersesch
Adler-Apotheke;Dinkelsbühler Str. 7;91717;Wassertrüdingen
Adler-Apotheke;Marktplatz 55;72250;Freudenstadt
Adler-Apotheke;Gartenstr. 2;42799;Leichlingen (Rheinland)
Adler-Apotheke;Hanauer Str. 52;68305;Mannheim
Adler-Apotheke;Marktplatz 6;99885;Ohrdruf
Adler-Apotheke;Kirchstr. 1;42103;Wuppertal
Adler-Apotheke;Unterstr. 2;44892;Bochum
Adler-Apotheke;Auf der Bult 17a;27574;Bremerhaven
Adler-Apotheke;Sudetenstr. 34;93073;Neutraubling
Adler-Apotheke;Schloßstr. 72;51429;Bergisch Gladbach
